TIME,WBE_1,WBE_2,WBE_3,FSP_X,FSP_Y,FSP_Z
0.071,-0.273392,0.235541266983088,-0.148302,0.00575162,-0.0261761,-3.44369
0.072,-0.266828,0.241181152966309,-0.146333,0.00901321,-0.0143016,-3.48152
0.073,-0.260733,0.246920221247332,-0.144448,-0.00696073,-0.0356528,-3.54844
0.074,-0.253503,0.252788716840764,-0.142058,-0.00736884,-0.0248142,-3.62455
0.075,-0.246632,0.258881685148346,-0.139889,0.0177087,-0.0211564,-3.6636
0.076,-0.241019,0.265057840983932,-0.138274,0.0367493,-0.0346673,-3.72189
0.077,-0.234222,0.271463359767853,-0.136595,0.0192497,-0.0169523,-3.79649
0.078,-0.228118,0.277929662937095,-0.135414,0.0148876,-0.00596325,-3.85882
0.079,-0.223276,0.284362975253488,-0.133623,0.0305228,-0.0189764,-3.92196
0.08,-0.217897,0.290767923308292,-0.131542,0.00502114,-0.0337947,-3.99664
0.081,-0.212916,0.29711707587215,-0.129933,0.0319635,-0.035897,-4.07831
0.082,-0.208645,0.303419301613218,-0.128195,0.00491421,-0.022216,-4.14242
0.083,-0.203334,0.309584280381204,-0.127131,0.0155773,-0.0203055,-4.18105
0.084,-0.197717,0.315741429673334,-0.12472,0.0144584,-0.00762356,-4.24872
0.085,-0.192664,0.32167287038386,-0.123141,0.00358742,-0.0107525,-4.29247
0.086,-0.188291,0.327539959896897,-0.121895,0.0124657,-0.0423612,-4.37491
0.087,-0.184613,0.333329188575676,-0.120838,-0.00022062,-0.00750075,-4.43311
0.088,-0.180749,0.338988589091853,-0.118482,0.030785,-0.0267184,-4.50528
0.089,-0.176726,0.344383130421041,-0.117066,0.00923021,-0.0396525,-4.53712
0.09,-0.174244,0.349670780536806,-0.116293,0.00606242,-0.0331533,-4.59269
0.091,-0.170182,0.354923567859839,-0.11504,0.0260148,-0.0218091,-4.65874
0.092,-0.167633,0.360157734467034,-0.11373,0.0111329,-0.0271471,-4.74748
0.093,-0.164302,0.365303606406918,-0.112991,0.0232207,-0.0368702,-4.82474
0.094,-0.16149,0.370564612616358,-0.110682,0.0316874,-0.037058,-4.91482
0.095,-0.158446,0.376024987983571,-0.109529,0.0166884,-0.0255237,-4.98296
0.096,-0.153874,0.38165782104236,-0.107939,0.0114347,-0.0148668,-5.07432
0.097,-0.151279,0.387334655414402,-0.10647,0.0306587,-0.0385272,-5.14999
0.098,-0.146867,0.39320127677546,-0.104466,0.0210121,-0.010464,-5.21848
0.099,-0.143281,0.399125865798878,-0.102307,0.0137576,-0.035766,-5.27633
0.1,-0.140863,0.405073377728139,-0.100303,0.0150391,-0.0199728,-5.34019
0.101,-0.135518,0.411166106896537,-0.0980923,0.0140569,-0.0157737,-5.38971
0.102,-0.131946,0.417208173219085,-0.0967282,0.00610486,-0.0442211,-5.4467
0.103,-0.128432,0.423337072600423,-0.0944374,0.0164941,-0.0258465,-5.50263
0.104,-0.126126,0.429537722716188,-0.0917759,0.0112116,-0.0173222,-5.55967
0.105,-0.123239,0.435765712589799,-0.090036,0.00416808,-0.0433036,-5.62592
0.106,-0.120937,0.442033324803706,-0.0887625,0.0268353,-0.029361,-5.65287
0.107,-0.118429,0.448233048096681,-0.0867864,0.0219077,-0.0276483,-5.70026
0.108,-0.115844,0.454417737738762,-0.0852304,0.0190061,-0.0434832,-5.73385
0.109,-0.113792,0.460560650184199,-0.0843085,0.0132043,-0.0295624,-5.77705
0.11,-0.111647,0.466604528333523,-0.082412,0.0129131,-0.0343053,-5.82013
0.111,-0.10941,0.47266476028403,-0.080793,0.0245842,-0.0334077,-5.85353
0.112,-0.108799,0.478804165696392,-0.0784728,0.0162413,-0.0407292,-5.89909
0.113,-0.106883,0.484769308467878,-0.0771818,0.0285934,-0.0287917,-5.91974
0.114,-0.104314,0.490904765180216,-0.0745243,0.0160201,-0.0336252,-5.99522
0.115,-0.102388,0.497049643329539,-0.0723242,0.0246438,-0.0410033,-6.02002
0.116,-0.101007,0.50326620295303,-0.071157,0.0379119,-0.0288766,-6.11398
0.117,-0.0981729,0.509422460386516,-0.0688167,0.0186889,-0.0324356,-6.17202
0.118,-0.0953312,0.515462631244676,-0.0663936,0.0191693,-0.0273883,-6.2076
0.119,-0.0914433,0.521464916764837,-0.0653505,0.0210965,-0.0319301,-6.26533
0.12,-0.0878939,0.527207626014474,-0.0626616,0.016934,-0.0373159,-6.33751
0.121,-0.0842478,0.532882383603562,-0.0612036,0.0239282,-0.0354661,-6.4356
0.122,-0.0806098,0.538373077162592,-0.0590221,0.0113208,-0.020162,-6.46782
0.123,-0.0765822,0.543635126170076,-0.0560604,0.0383292,-0.0196964,-6.53678
0.124,-0.072787,0.548846239852839,-0.0547754,0.0338055,-0.0186933,-6.57752
0.125,-0.0684318,0.553747401897865,-0.052376,0.0307667,-0.0354208,-6.64997
0.126,-0.0645295,0.558637008881569,-0.0509303,0.0327566,-0.0269024,-6.71271
0.127,-0.0607123,0.563273392416697,-0.0486827,0.0173422,-0.0565916,-6.75268
0.128,-0.0583503,0.567742073890865,-0.0459502,0.0313188,-0.0497211,-6.81211
0.129,-0.0553624,0.572028041219209,-0.044944,0.0316574,-0.0300885,-6.86447
0.13,-0.0527043,0.576149812206413,-0.0434426,0.0147506,-0.0485819,-6.92867
0.131,-0.0488775,0.580156222848979,-0.0411485,0.0352416,-0.0407729,-6.96247
0.132,-0.0462288,0.583861576004941,-0.0392604,0.0142429,-0.0470078,-6.96523
0.133,-0.0433428,0.587439552480437,-0.0361134,0.0277299,-0.0454202,-7.01976
0.134,-0.0414437,0.590793381622276,-0.034647,0.0244403,-0.0559323,-7.07446
0.135,-0.0386662,0.593928648202914,-0.0320212,0.0263719,-0.0359504,-7.10834
0.136,-0.0369841,0.596798140524618,-0.0305922,0.0360676,-0.0515751,-7.11775
0.137,-0.0347784,0.599434038592702,-0.0295373,0.0227347,-0.042495,-7.19617
0.138,-0.0330965,0.601886286545021,-0.0281434,0.03848,-0.0465502,-7.24218
