TIME,WBE_1,WBE_2,WBE_3,FSP_X,FSP_Y,FSP_Z
0.385,0.177386,-0.863933295521158,0.0758571,-0.137998,1.46534,-12.6475
0.39,0.155626,-0.872345177523602,0.069359,-0.25176,-0.570021,-11.5139
0.395,0.107021,-0.840325395029904,0.063628,2.88491,-0.153053,-9.26005
0.4,0.129862,-0.804132764178919,0.0543649,0.217442,-0.967491,-11.6406
0.405,0.090356,-0.799447473110238,0.0631501,-0.879663,0.0728503,-10.5395
0.41,0.109475,-0.765595524103516,0.0635027,1.29621,-1.53535,-10.4878
0.415,0.0717798,-0.782480588893618,0.0674813,-0.61733,-0.469413,-11.1884
0.42,0.0839987,-0.712781004254321,0.0730264,0.247162,-0.478797,-8.4787
0.425,0.0368854,-0.744911089354547,0.0927711,2.02081,0.417686,-11.0968
0.43,0.0164717,-0.689256143001391,0.090321,0.196005,1.05271,-12.5178
0.435,0.0171268,-0.693549565316508,0.0564661,0.00111414,-0.0508235,-10.6789
0.44,-0.0315705,-0.625025068715312,0.077755,0.784949,0.178428,-9.93389
0.445,-0.0405603,-0.600595180199569,0.0716379,1.81986,0.120577,-9.95599
0.45,-0.0600902,-0.534710038469822,0.0724532,-1.11206,-0.539283,-11.5933
0.455,-0.0795525,-0.506838073079912,0.0622564,-0.16683,0.823998,-11.825
0.46,-0.103937,-0.487733863337877,0.0691037,0.601632,0.740889,-10.9539
0.465,-0.0799126,-0.464533822696956,0.0587789,1.54478,-1.12331,-9.9152
0.47,-0.11194,-0.414410605891953,0.076966,-0.451235,0.0916671,-11.9698
0.475,-0.127504,-0.355187788963921,0.0647759,1.295,-0.425328,-9.55665
0.48,-0.11669,-0.312199917248356,0.0466152,0.286001,-0.419568,-10.1381
0.485,-0.16402,-0.267471156600058,0.059775,-0.577823,1.16529,-10.2303
0.49,-0.1402,-0.228163880884156,0.045219,0.470788,-0.0271409,-11.2643
0.495,-0.182769,-0.172971682590364,0.0503717,-0.28351,-1.23867,-10.6277
0.5,-0.186754,-0.127354634658682,0.0394205,0.532121,0.971348,-11.3135
0.505,-0.198128,-0.0130961514817743,0.0457775,2.04252,-0.530235,-12.1704
0.51,-0.196579,-0.0395082047822449,0.0300993,-0.459844,1.82303,-12.6189
0.515,-0.210659,-0.0154790860826311,0.0309778,0.258906,-1.28115,-12.3834
0.52,-0.220215,0.0412710999684661,0.0234635,2.34097,1.65731,-12.7855
0.525,-0.211941,0.0960212235595346,0.033211,2.50637,2.21198,-9.44563
0.53,-0.246221,0.132999066170299,0.0250149,-0.4175,-0.806091,-11.6765
0.535,-0.228302,0.215985485502739,0.0240773,0.431198,1.18554,-9.95023
0.54,-0.25523,0.245537494385295,-0.00256842,0.504076,0.9933,-12.7967
0.545,-0.250271,0.251439762884874,-0.00502969,2.61162,1.48043,-11.0172
0.55,-0.248,0.298229304403714,0.0163824,0.262192,-0.503709,-11.9466
0.555,-0.261008,0.321977164385,0.0269651,1.60837,0.188207,-12.3567
0.56,-0.252183,0.404858773764498,-0.00709137,-0.199262,-0.152574,-12.2026
0.565,-0.26411,0.408362566960339,0.00262053,0.49036,-0.171148,-11.32
0.57,-0.233676,0.43081873832043,-0.0001967,1.16497,-1.99047,-12.5635
0.575,-0.218415,0.461510931679276,0.0159047,-0.799514,0.39055,-10.928
0.58,-0.226733,0.478514622076984,0.00463538,1.15311,0.205551,-11.7611
0.585,-0.2391,0.530735219151858,0.0235035,0.275416,-0.925175,-11.1977
0.59,-0.216468,0.537007466574538,0.0179855,-0.229773,0.0716248,-11.885
0.595,-0.194378,0.549243311290926,0.0204704,0.512106,-0.566945,-13.51
0.6,-0.182007,0.537642541079449,0.0086809,-0.542496,0.428539,-14.4978
0.605,-0.168984,0.563670454686905,0.0102025,0.575276,0.103488,-12.392
0.61,-0.156086,0.592793060644335,0.0317891,0.201208,-0.90607,-10.9986
0.615,-0.135995,0.55597235548487,0.00443342,-1.09466,-1.07154,-12.298
0.62,-0.121023,0.556063555467294,0.00739322,-1.03341,0.590145,-12.5214
0.625,-0.0996902,0.547134731191984,0.0117538,1.06227,0.176181,-10.5108
0.63,-0.0989901,0.57560016885988,0.0128724,0.26264,-1.16197,-14.0212
0.635,-0.0758823,0.576599014146611,0.00419,-0.264945,-0.344581,-12.1236
0.64,-0.0423116,0.587843799952099,0.0163385,0.796971,-0.964224,-13.7189
0.645,-0.023761,0.574282790082209,0.00785016,1.7732,1.31448,-12.0921
0.65,-0.0278846,0.581352610080797,0.00627826,1.1973,-0.650437,-11.4614
0.655,-0.0064097,0.561462015616412,-0.00640882,2.07343,-0.211899,-11.0152
0.66,0.0105329,0.54160814558948,0.00830261,0.853753,-1.48641,-11.3202
0.665,0.0105187,0.513056274180625,0.00043272,-0.892489,1.98671,-10.2079
0.67,0.0227136,0.492481913650532,0.0101732,0.495768,-0.759882,-11.7604
0.675,0.0403697,0.523264600057552,-0.00885264,0.124234,0.0218616,-12.9565
0.68,0.0523981,0.478796973154177,0.00639887,0.540681,-0.614149,-11.1922
0.685,0.0683419,0.46060376306063,0.004489,-0.206733,-0.0306144,-11.4933
0.69,0.0742121,0.462521846010432,0.0102434,1.01001,-0.315042,-13.0208
0.695,0.0845759,0.450100629775774,0.0031271,-1.09976,-0.0694196,-12.1199
0.7,0.0867838,0.446895792341187,-0.021257,-0.502964,-0.670813,-12.0712
0.705,0.101521,0.410659870157886,0.0111693,1.61764,-0.140209,-11.2253
0.71,0.126338,0.419952803088131,0.0197408,0.778652,-1.45505,-13.3471
0.715,0.113796,0.403275213317458,0.0195703,-0.566871,1.27147,-12.0706
0.72,0.120571,0.412718097666757,0.000467843,-0.785701,-2.56551,-10.1479
0.725,0.136218,0.402934874567288,0.0245574,0.874055,1.15538,-10.547
0.73,0.112438,0.372930846580776,0.00105014,0.761606,-0.268453,-11.6143
0.735,0.143849,0.395241375598562,0.0154983,-0.747091,1.12109,-10.6321
0.74,0.135666,0.379049274313305,0.0100667,-0.447032,-1.21049,-12.7747
0.745,0.147536,0.341654871737966,0.0190378,-1.36812,-0.201416,-13.6109
0.75,0.147298,0.328116840703299,0.0135043,-0.695615,-0.300309,-10.8588
0.755,0.158777,0.3159748778136,0.00911091,-0.327651,-0.44769,-12.1245
0.76,0.149395,0.264234673027185,0.00890438,-0.858329,-0.705467,-13.8932
0.765,0.151098,0.259081528754151,-0.00284013,0.580887,-1.00553,-11.6774
0.77,0.136039,0.249459818880299,-0.0115757,-1.58702,-0.58818,-12.4285
0.775,0.134562,0.207134189564591,0.00516874,-0.149072,1.05917,-13.2066
0.78,0.11903,0.189269008904956,-0.0033031,-1.40845,0.147475,-10.7945
0.785,0.107055,0.182778529171141,-0.000919408,0.919805,-0.0273177,-11.8233
0.79,0.0789076,0.141759635368941,-0.0015347,0.34452,-0.762366,-11.3772
0.795,0.086758,0.120066341295182,-0.00871183,0.760699,-0.871309,-10.8467
0.8,0.070049,0.116598458363647,0.00201742,0.0792868,0.993958,-11.9248
0.805,0.0650325,0.0930532394730097,-0.0155415,-0.864319,-1.09515,-12.5521
0.81,0.0626095,0.0543941509128103,0.00745745,-0.164957,0.534752,-11.9818
0.815,0.0496436,0.00871053974530922,-0.00388961,-0.0701808,-0.973982,-11.2734
0.82,0.0673671,-0.0309338242623867,-0.00222643,1.36457,0.225256,-12.5797
0.825,0.0498104,-0.021568538140711,0.00921316,0.814337,1.78313,-10.3193
0.83,0.0623367,-0.0417934951832593,0.0136667,-1.90116,0.896364,-12.5664
0.835,0.0295783,-0.0619673082836071,-0.00118351,-1.08527,0.429327,-10.2187
0.84,0.026468,-0.0622269254278862,-0.0148984,-0.51838,-0.98214,-11.5536
0.845,0.0193091,-0.148801093872502,0.00717515,-0.289943,0.712063,-11.5303
0.85,0.00981258,-0.159409673926641,0.0040901,0.803106,-0.947447,-11.1338
0.855,0.00768717,-0.188401263214848,-0.00130261,1.03671,-0.119605,-11.0616
0.86,-0.0216245,-0.185133433828838,-0.00881257,0.11333,-2.16171,-9.50005
0.865,-0.0118005,-0.218501637298807,-0.0211382,0.431255,0.0518039,-11.3878
0.87,-0.0261799,-0.260112843444744,-0.00589663,1.34702,0.163476,-11.0744
0.875,-0.028659,-0.279722579111607,-0.0092845,-0.658948,0.601775,-10.8099
0.88,-0.0395302,-0.274956282821947,0.00536817,-0.597891,0.0936128,-10.4863
0.885,-0.0251171,-0.302977707526996,-0.00314304,-0.167959,-0.222373,-10.6615
0.89,-0.0223219,-0.366579072290735,0.0136558,1.04466,1.28579,-10.8867
0.895,-0.0251043,-0.365087367065793,0.00541112,0.299529,0.400061,-10.2668
0.9,-0.0180411,-0.413605133724247,0.00198891,1.21028,0.687328,-10.7854
0.905,0.0026775,-0.396302719326752,0.0179671,0.419848,1.16342,-10.4247
0.91,-0.0148924,-0.417088850681742,-0.00784135,-0.146731,1.43105,-12.7818
0.915,-0.0123554,-0.439880459446093,0.00791149,0.841001,-1.69596,-11.5765
0.92,0.00259924,-0.46721216699549,0.00504571,-0.199826,-0.114768,-10.7266
0.925,0.00643307,-0.498323033469401,-0.00862117,0.31403,-0.594794,-11.7359
0.93,-0.0270216,-0.526103295543559,0.00914611,-0.148788,0.4958,-10.7428
0.935,-0.00464675,-0.516338046869911,-5.109e-05,0.972516,-0.86881,-10.8546
0.94,-0.00854967,-0.529701780277797,0.00283847,0.214444,0.703434,-11.4775
0.945,-0.00363126,-0.547395916085265,-0.0070643,0.815393,0.524736,-12.1478
0.95,-0.0229612,-0.570759966136011,-0.00966139,1.69373,0.0152547,-11.2933
0.955,-0.0273089,-0.584856802211076,-0.00556972,0.903753,0.736205,-12.5272
0.96,-0.0191054,-0.567615840987609,-0.00281819,1.23736,0.639799,-10.8144
0.965,-0.0271761,-0.582986838575276,-0.0152957,1.36373,0.361314,-10.54
0.97,-0.0440419,-0.575152851822431,-0.00403268,0.21759,0.948883,-9.09011
0.975,-0.0478935,-0.584327906961477,0.00865056,0.0341099,0.180657,-8.68135
0.98,-0.039998,-0.60292930646626,0.0197556,0.161342,0.315383,-10.0583
0.985,-0.0318729,-0.566943205794424,-0.00543782,-0.364576,0.0252094,-9.90553
0.99,-0.0302524,-0.553200809294719,0.0173699,0.783279,-2.70035,-10.6546
