TIME,WBE_1,WBE_2,WBE_3,FSP_X,FSP_Y,FSP_Z
0,0.000280001,0.00364397787734519,0.000103242,-0.0163317,-0.0253994,-0.00542173
0.001,0.00014992,0.0108252351335217,-0.00142592,-0.0206839,0.0133598,-0.0233932
0.002,0.000956008,0.0176519438024244,-0.00668609,-0.00387375,0.0250649,-0.0350214
0.003,0.000444412,0.023611197054982,-0.0139824,-0.0173882,0.0132185,-0.042587
0.004,8.20745e-05,0.0285462745565382,-0.0200502,-0.00948838,-0.00827898,-0.100575
0.005,-0.000665157,0.0328693567934164,-0.0274454,-0.0200511,0.0174798,-0.120241
0.006,-0.00131967,-0.00149206551507531,-0.0349447,-0.00174429,0.0111272,-0.136535
0.007,-0.00305803,-0.0402570733871656,-0.041336,0.00075259,-0.00641198,-0.187086
0.008,-0.005018,-0.0421042747866064,-0.048334,-0.0184865,0.0315456,-0.19918
0.009,-0.0086035,-0.04084134200425,-0.053917,-0.0196052,0.0125876,-0.220733
0.01,-0.0110839,-0.0394364451408592,-0.0608436,-0.00308601,0.00707165,-0.260305
0.011,-0.01552,-0.0377645766292998,-0.0671157,-8.15545e-05,0.0134879,-0.299063
0.012,-0.020399,-0.0361144682507252,-0.0740777,-0.0218362,0.00388328,-0.298669
0.013,-0.025917,-0.0342457046684638,-0.0796896,-0.01534,0.00543384,-0.348446
0.014,-0.0319125,-0.032250109939923,-0.085107,-0.0215551,-0.00648837,-0.34556
0.015,-0.0377101,-0.0300446910413256,-0.0917228,-0.0201309,0.0137001,-0.406287
0.016,-0.0442787,-0.0277778754588448,-0.0973012,-0.00963646,0.0162269,-0.419849
0.017,-0.0512366,-0.0253655947664615,-0.102786,-0.0160384,0.00254067,-0.437764
0.018,-0.058743,-0.0228624838669132,-0.107967,-0.0148663,0.0118688,-0.457692
0.019,-0.0670291,-0.0201547609636636,-0.113008,-0.00672355,0.00483119,-0.456437
0.02,-0.076356,-0.0173350953320925,-0.119009,-0.00917581,0.0243546,-0.500208
0.021,-0.084315,-0.014417427219297,-0.122825,-0.0108104,0.00579285,-0.540528
0.022,-0.0942337,-0.0113599087381457,-0.127977,-0.0332695,0.0193748,-0.545843
0.023,-0.10391,-0.00822534589741352,-0.132921,-0.00563852,0.0120687,-0.579039
0.024,-0.113978,-0.00484286684370681,-0.137398,-0.0196611,-0.00258054,-0.60251
0.025,-0.125339,-0.00147131939039818,-0.140605,-0.0245507,0.007885,-0.622473
0.026,-0.135514,0.00214605386331218,-0.145199,-0.0199792,0.00369873,-0.635184
0.027,-0.147142,0.0057733076598663,-0.149539,-0.0202684,0.00276131,-0.68187
0.028,-0.158401,0.00979157944212814,-0.153523,-0.000273382,-0.0232209,-0.706934
0.029,-0.170705,0.0141421792863034,-0.157358,-0.00378407,-0.000728304,-0.769269
0.03,-0.183844,0.0206081652382927,-0.160912,-0.0184864,0.0155917,-0.820929
0.031,-0.196481,0.030169823277449,-0.164499,-0.0156986,-0.00246293,-0.851362
0.032,-0.209675,0.0411094330228395,-0.168047,-0.03244,0.00139299,-0.922079
0.033,-0.222534,0.0516081190764358,-0.170934,-0.0350185,-0.00823377,-0.933873
0.034,-0.235783,0.0614154672515103,-0.173402,-0.038223,0.0014467,-0.989115
0.035,-0.249134,0.0706244748331134,-0.175196,1.38613e-05,2.73881e-05,-1.01902
0.036,-0.26231,0.0791014603837233,-0.178221,0.000616398,-0.00208567,-1.10035
0.037,-0.274942,0.0869004663605717,-0.180299,-0.0147092,0.00116265,-1.15933
0.038,-0.28679,0.0939711119875637,-0.18187,0.00160684,-0.01191,-1.23958
0.039,-0.299059,0.100561357047096,-0.184064,-0.0201266,0.00184895,-1.30922
0.04,-0.309915,0.106500515685591,-0.184958,-0.00330654,-0.00431732,-1.39219
0.041,-0.320077,0.112072075918584,-0.185792,-0.0195914,-0.017194,-1.45379
0.042,-0.329361,0.117105858301263,-0.186911,-0.0145475,0.00402837,-1.51624
0.043,-0.337761,0.121889001042224,-0.186359,-0.0128419,-0.0168139,-1.60121
0.044,-0.344599,0.126344390929392,-0.186397,-0.0108126,2.46257e-05,-1.65172
0.045,-0.349865,0.130440322480478,-0.187447,-0.00996048,0.00860798,-1.73241
0.046,-0.355686,0.134440159872866,-0.188105,-0.00144529,-0.0174889,-1.813
0.047,-0.360071,0.138115715873525,-0.187239,-0.00446104,-0.0184055,-1.83583
0.048,-0.363545,0.141753008367207,-0.187949,0.000352801,-0.00101781,-1.93516
0.049,-0.366715,0.145154601221732,-0.186689,-0.00951779,-0.00997866,-2.00327
0.05,-0.369046,0.148589199648299,-0.186412,-0.0109872,-0.0164537,-2.07255
0.051,-0.368916,0.151939973266279,-0.185762,-0.00253827,0.000682675,-2.15272
0.052,-0.367743,0.155250295873159,-0.184435,-0.00971636,-0.00864717,-2.21844
0.053,-0.366467,0.15863545820968,-0.182762,-0.00392807,-0.00211704,-2.25185
0.054,-0.365055,0.161964388592139,-0.181542,-0.00724265,-0.0141805,-2.35725
0.055,-0.362599,0.165387877625733,-0.180353,-0.000531265,-0.0116063,-2.42606
0.056,-0.359799,0.168880742794067,-0.178706,0.0131307,-0.0212521,-2.51156
0.057,-0.356109,0.172402350569646,-0.176189,-0.00268714,-0.0132124,-2.5816
0.058,-0.351774,0.176072590704094,-0.174857,-0.00320996,-0.0147572,-2.64833
