TIME,TRUTH_N
0.354,9.98768
0.355,9.98757
0.356,9.98746
0.357,9.98735
0.358,9.98724
0.359,9.98713
0.36,9.98702
0.361,9.98691
0.362,9.9868
0.363,9.98669
0.364,9.98658
0.365,9.98647
0.366,9.98636
0.367,9.98625
0.368,9.98614
0.369,9.98602
0.37,9.98591
0.371,9.9858
0.372,9.98569
0.373,9.98558
0.374,9.98547
0.375,9.98536
0.376,9.98525
0.377,9.98514
0.378,9.98503
0.379,9.98492
0.38,9.98481
0.381,9.9847
0.382,9.98459
0.383,9.98448
0.384,9.98437
0.385,9.98426
0.386,9.98415
0.387,9.98404
0.388,9.98393
0.389,9.98382
0.39,9.98372
0.391,9.98361
0.392,9.9835
0.393,9.98339
0.394,9.98328
0.395,9.98317
0.396,9.98307
0.397,9.98296
0.398,9.98285
0.399,9.98274
0.4,9.98264
0.401,9.98253
0.402,9.98243
0.403,9.98232
0.404,9.98221
0.405,9.98211
0.406,9.982
0.407,9.9819
0.408,9.9818
0.409,9.98169
0.41,9.98159
0.411,9.98148
0.412,9.98138
0.413,9.98128
0.414,9.98118
0.415,9.98107
0.416,9.98097
0.417,9.98087
0.418,9.98077
0.419,9.98067
0.42,9.98057
0.421,9.98047
0.422,9.98037
0.423,9.98028
0.424,9.98018
0.425,9.98008
0.426,9.97998
0.427,9.97989
0.428,9.97979
0.429,9.9797
0.43,9.9796
0.431,9.97951
0.432,9.97941
0.433,9.97932
0.434,9.97923
0.435,9.97913
0.436,9.97904
0.437,9.97895
0.438,9.97886
0.439,9.97877
0.44,9.97868
0.441,9.97859
0.442,9.9785
0.443,9.97841
0.444,9.97833
0.445,9.97824
0.446,9.97815
0.447,9.97807
0.448,9.97798
0.449,9.9779
0.45,9.97782
0.451,9.97773
0.452,9.97765
0.453,9.97757
0.454,9.97749
0.455,9.97741
0.456,9.97733
0.457,9.97725
0.458,9.97717
0.459,9.9771
0.46,9.97702
0.461,9.97694
0.462,9.97687
0.463,9.97679
0.464,9.97672
0.465,9.97665
0.466,9.97657
0.467,9.9765
0.468,9.97643
0.469,9.97636
0.47,9.97629
0.471,9.97622
0.472,9.97616
0.473,9.97609
0.474,9.97602
0.475,9.97596
0.476,9.97589
0.477,9.97583
0.478,9.97577
0.479,9.9757
0.48,9.97564
0.481,9.97558
0.482,9.97552
0.483,9.97546
0.484,9.9754
0.485,9.97535
0.486,9.97529
0.487,9.97523
0.488,9.97518
0.489,9.97513
0.49,9.97507
0.491,9.97502
0.492,9.97497
0.493,9.97492
0.494,9.97487
0.495,9.97482
0.496,9.97477
0.497,9.97472
0.498,9.97468
0.499,9.97463
0.5,9.97459
0.501,9.97454
0.502,9.9745
0.503,9.97446
0.504,9.97442
0.505,9.97438
0.506,9.97434
0.507,9.9743
0.508,9.97426
0.509,9.97423
0.51,9.97419
0.511,9.97416
0.512,9.97412
0.513,9.97409
0.514,9.97406
0.515,9.97403
0.516,9.974
0.517,9.97397
0.518,9.97394
0.519,9.97391
0.52,9.97388
0.521,9.97386
0.522,9.97383
0.523,9.97381
0.524,9.97379
0.525,9.97376
0.526,9.97374
0.527,9.97372
0.528,9.9737
0.529,9.97369
0.53,9.97367
0.531,9.97365
0.532,9.97364
0.533,9.97362
0.534,9.97361
0.535,9.97359
0.536,9.97358
0.537,9.97357
0.538,9.97356
0.539,9.97355
0.54,9.97354
0.541,9.97354
0.542,9.97353
0.543,9.97352
0.544,9.97352
0.545,9.97351
0.546,9.97351
0.547,9.97351
0.548,9.97351
0.549,9.97351
0.55,9.97351
0.551,9.97351
0.552,9.97351
0.553,9.97351
0.554,9.97352
0.555,9.97352
0.556,9.97353
0.557,9.97354
0.558,9.97354
0.559,9.97355
0.56,9.97356
0.561,9.97357
0.562,9.97358
0.563,9.9736
0.564,9.97361
0.565,9.97362
0.566,9.97364
0.567,9.97365
0.568,9.97367
0.569,9.97369
0.57,9.9737
0.571,9.97372
0.572,9.97374
0.573,9.97376
0.574,9.97378
0.575,9.97381
0.576,9.97383
0.577,9.97385
0.578,9.97388
0.579,9.9739
0.58,9.97393
0.581,9.97396
0.582,9.97399
0.583,9.97402
0.584,9.97404
0.585,9.97408
0.586,9.97411
0.587,9.97414
0.588,9.97417
0.589,9.97421
0.59,9.97424
0.591,9.97427
0.592,9.97431
0.593,9.97435
0.594,9.97438
0.595,9.97442
0.596,9.97446
0.597,9.9745
0.598,9.97454
0.599,9.97458
0.6,9.97463
0.601,9.97467
0.602,9.97471
0.603,9.97476
0.604,9.9748
0.605,9.97485
0.606,9.97489
0.607,9.97494
0.608,9.97499
0.609,9.97503
0.61,9.97508
0.611,9.97513
0.612,9.97518
0.613,9.97524
0.614,9.97529
0.615,9.97534
0.616,9.97539
0.617,9.97545
0.618,9.9755
0.619,9.97556
0.62,9.97561
0.621,9.97567
0.622,9.97572
0.623,9.97578
0.624,9.97584
0.625,9.9759
0.626,9.97596
0.627,9.97602
0.628,9.97608
0.629,9.97614
0.63,9.9762
0.631,9.97627
0.632,9.97633
0.633,9.97639
0.634,9.97646
0.635,9.97652
0.636,9.97659
0.637,9.97665
0.638,9.97672
0.639,9.97679
0.64,9.97685
0.641,9.97692
0.642,9.97699
0.643,9.97706
0.644,9.97713
0.645,9.9772
0.646,9.97727
0.647,9.97734
0.648,9.97741
0.649,9.97748
0.65,9.97756
0.651,9.97763
0.652,9.9777
0.653,9.97778
0.654,9.97785
0.655,9.97793
0.656,9.978
0.657,9.97808
0.658,9.97815
0.659,9.97823
0.66,9.97831
0.661,9.97838
0.662,9.97846
0.663,9.97854
0.664,9.97862
0.665,9.9787
0.666,9.97878
0.667,9.97885
0.668,9.97893
0.669,9.97901
0.67,9.9791
0.671,9.97918
0.672,9.97926
0.673,9.97934
0.674,9.97942
0.675,9.9795
0.676,9.97959
0.677,9.97967
0.678,9.97975
0.679,9.97984
0.68,9.97992
0.681,9.98
0.682,9.98009
0.683,9.98017
0.684,9.98026
0.685,9.98034
0.686,9.98043
0.687,9.98051
0.688,9.9806
0.689,9.98069
0.69,9.98077
0.691,9.98086
0.692,9.98095
0.693,9.98103
0.694,9.98112
0.695,9.98121
0.696,9.9813
0.697,9.98138
0.698,9.98147
0.699,9.98156
0.7,9.98165
0.701,9.98174
0.702,9.98183
0.703,9.98191
0.704,9.982
0.705,9.98209
0.706,9.98218
0.707,9.98227
0.708,9.98236
0.709,9.98245
0.71,9.98254
0.711,9.98263
0.712,9.98272
0.713,9.98281
0.714,9.9829
0.715,9.98299
0.716,9.98308
0.717,9.98317
0.718,9.98326
0.719,9.98335
0.72,9.98344
0.721,9.98353
0.722,9.98362
0.723,9.98372
0.724,9.98381
0.725,9.9839
0.726,9.98399
0.727,9.98408
0.728,9.98417
0.729,9.98426
0.73,9.98435
0.731,9.98444
0.732,9.98453
0.733,9.98463
0.734,9.98472
0.735,9.98481
0.736,9.9849
0.737,9.98499
0.738,9.98508
0.739,9.98517
0.74,9.98526
0.741,9.98535
0.742,9.98544
0.743,9.98554
0.744,9.98563
0.745,9.98572
0.746,9.98581
0.747,9.9859
0.748,9.98599
0.749,9.98608
0.75,9.98617
0.751,9.98626
0.752,9.98635
0.753,9.98644
0.754,9.98653
0.755,9.98662
0.756,9.98671
0.757,9.9868
0.758,9.98689
0.759,9.98698
0.76,9.98707
0.761,9.98716
0.762,9.98724
0.763,9.98733
0.764,9.98742
0.765,9.98751
0.766,9.9876
0.767,9.98769
0.768,9.98777
0.769,9.98786
0.77,9.98795
0.771,9.98804
0.772,9.98813
0.773,9.98821
0.774,9.9883
0.775,9.98839
0.776,9.98847
0.777,9.98856
0.778,9.98865
0.779,9.98873
0.78,9.98882
0.781,9.9889
0.782,9.98899
0.783,9.98908
0.784,9.98916
0.785,9.98925
0.786,9.98933
0.787,9.98942
0.788,9.9895
0.789,9.98958
0.79,9.98967
0.791,9.98975
0.792,9.98983
0.793,9.98992
0.794,9.99
0.795,9.99008
0.796,9.99017
0.797,9.99025
0.798,9.99033
0.799,9.99041
0.8,9.99049
0.801,9.99058
0.802,9.99066
0.803,9.99074
0.804,9.99082
0.805,9.9909
0.806,9.99098
0.807,9.99106
0.808,9.99114
0.809,9.99122
0.81,9.9913
0.811,9.99138
0.812,9.99145
0.813,9.99153
0.814,9.99161
0.815,9.99169
0.816,9.99176
0.817,9.99184
0.818,9.99192
0.819,9.992
0.82,9.99207
0.821,9.99215
0.822,9.99222
0.823,9.9923
0.824,9.99237
0.825,9.99245
0.826,9.99252
0.827,9.9926
0.828,9.99267
0.829,9.99275
0.83,9.99282
0.831,9.99289
0.832,9.99296
0.833,9.99304
0.834,9.99311
0.835,9.99318
0.836,9.99325
0.837,9.99332
0.838,9.9934
0.839,9.99347
0.84,9.99354
0.841,9.99361
0.842,9.99368
0.843,9.99375
0.844,9.99382
0.845,9.99388
0.846,9.99395
0.847,9.99402
0.848,9.99409
0.849,9.99416
0.85,9.99423
0.851,9.99429
0.852,9.99436
0.853,9.99443
0.854,9.99449
0.855,9.99456
0.856,9.99462
0.857,9.99469
0.858,9.99476
0.859,9.99482
0.86,9.99488
0.861,9.99495
0.862,9.99501
0.863,9.99508
0.864,9.99514
0.865,9.9952
0.866,9.99527
0.867,9.99533
0.868,9.99539
0.869,9.99545
0.87,9.99551
0.871,9.99558
0.872,9.99564
0.873,9.9957
0.874,9.99576
0.875,9.99582
0.876,9.99588
0.877,9.99594
0.878,9.996
0.879,9.99606
0.88,9.99612
0.881,9.99618
0.882,9.99623
0.883,9.99629
0.884,9.99635
0.885,9.99641
0.886,9.99646
0.887,9.99652
0.888,9.99658
0.889,9.99664
0.89,9.99669
0.891,9.99675
0.892,9.9968
0.893,9.99686
0.894,9.99692
0.895,9.99697
0.896,9.99703
0.897,9.99708
0.898,9.99713
0.899,9.99719
0.9,9.99724
0.901,9.9973
0.902,9.99735
0.903,9.9974
0.904,9.99746
0.905,9.99751
0.906,9.99756
0.907,9.99761
0.908,9.99767
0.909,9.99772
0.91,9.99777
0.911,9.99782
0.912,9.99787
0.913,9.99793
0.914,9.99798
0.915,9.99803
0.916,9.99808
0.917,9.99813
0.918,9.99818
0.919,9.99823
0.92,9.99828
0.921,9.99833
0.922,9.99838
0.923,9.99843
0.924,9.99848
0.925,9.99853
0.926,9.99858
0.927,9.99862
0.928,9.99867
0.929,9.99872
0.93,9.99877
0.931,9.99882
0.932,9.99887
0.933,9.99892
0.934,9.99896
0.935,9.99901
0.936,9.99906
0.937,9.99911
0.938,9.99915
0.939,9.9992
0.94,9.99925
0.941,9.9993
0.942,9.99934
0.943,9.99939
0.944,9.99944
0.945,9.99948
0.946,9.99953
0.947,9.99958
0.948,9.99962
0.949,9.99967
0.95,9.99972
0.951,9.99976
0.952,9.99981
0.953,9.99986
0.954,9.9999
0.955,9.99995
0.956,10
0.957,10
0.958,10.0001
0.959,10.0001
0.96,10.0002
0.961,10.0002
0.962,10.0003
0.963,10.0003
0.964,10.0004
0.965,10.0004
0.966,10.0005
0.967,10.0005
0.968,10.0006
0.969,10.0006
0.97,10.0006
0.971,10.0007
0.972,10.0007
0.973,10.0008
0.974,10.0008
0.975,10.0009
0.976,10.0009
0.977,10.001
0.978,10.001
0.979,10.0011
0.98,10.0011
0.981,10.0012
0.982,10.0012
0.983,10.0013
0.984,10.0013
0.985,10.0014
0.986,10.0014
0.987,10.0014
0.988,10.0015
0.989,10.0015
0.99,10.0016
0.991,10.0016
0.992,10.0017
0.993,10.0017
0.994,10.0018
0.995,10.0018
0.996,10.0019
0.997,10.0019
0.998,10.002
0.999,10.002
1,10.0021
1.001,10.0021
1.002,10.0022
1.003,10.0022
1.004,10.0023
1.005,10.0023
1.006,10.0024
1.007,10.0024
1.008,10.0025
1.009,10.0025
1.01,10.0026
1.011,10.0027
1.012,10.0027
1.013,10.0028
1.014,10.0028
1.015,10.0029
1.016,10.0029
1.017,10.003
1.018,10.003
1.019,10.0031
1.02,10.0031
1.021,10.0032
1.022,10.0032
1.023,10.0033
1.024,10.0034
1.025,10.0034
1.026,10.0035
1.027,10.0035
1.028,10.0036
1.029,10.0037
1.03,10.0037
1.031,10.0038
1.032,10.0038
1.033,10.0039
1.034,10.0039
1.035,10.004
1.036,10.0041
1.037,10.0041
1.038,10.0042
1.039,10.0043
1.04,10.0043
1.041,10.0044
1.042,10.0044
1.043,10.0045
1.044,10.0046
1.045,10.0046
1.046,10.0047
1.047,10.0048
1.048,10.0048
1.049,10.0049
1.05,10.005
1.051,10.005
1.052,10.0051
1.053,10.0052
1.054,10.0052
1.055,10.0053
1.056,10.0054
1.057,10.0055
1.058,10.0055
1.059,10.0056
1.06,10.0057
1.061,10.0057
1.062,10.0058
1.063,10.0059
1.064,10.006
1.065,10.006
1.066,10.0061
1.067,10.0062
1.068,10.0063
1.069,10.0063
1.07,10.0064
1.071,10.0065
1.072,10.0066
1.073,10.0067
1.074,10.0067
1.075,10.0068
1.076,10.0069
1.077,10.007
1.078,10.0071
1.079,10.0071
1.08,10.0072
1.081,10.0073
1.082,10.0074
1.083,10.0075
1.084,10.0076
1.085,10.0076
1.086,10.0077
1.087,10.0078
1.088,10.0079
1.089,10.008
1.09,10.0081
1.091,10.0082
1.092,10.0083
1.093,10.0084
1.094,10.0084
1.095,10.0085
1.096,10.0086
1.097,10.0087
1.098,10.0088
1.099,10.0089
1.1,10.009
1.101,10.0091
1.102,10.0092
1.103,10.0093
1.104,10.0094
1.105,10.0095
1.106,10.0096
1.107,10.0097
1.108,10.0098
1.109,10.0099
1.11,10.01
1.111,10.0101
1.112,10.0102
1.113,10.0103
1.114,10.0104
1.115,10.0105
1.116,10.0106
1.117,10.0107
1.118,10.0108
1.119,10.011
1.12,10.0111
1.121,10.0112
1.122,10.0113
1.123,10.0114
1.124,10.0115
1.125,10.0116
1.126,10.0117
1.127,10.0118
1.128,10.012
1.129,10.0121
1.13,10.0122
1.131,10.0123
1.132,10.0124
1.133,10.0125
1.134,10.0127
1.135,10.0128
1.136,10.0129
1.137,10.013
1.138,10.0131
1.139,10.0133
1.14,10.0134
1.141,10.0135
1.142,10.0136
1.143,10.0138
1.144,10.0139
1.145,10.014
1.146,10.0141
1.147,10.0143
1.148,10.0144
1.149,10.0145
1.15,10.0147
1.151,10.0148
1.152,10.0149
1.153,10.0151
1.154,10.0152
1.155,10.0153
1.156,10.0155
1.157,10.0156
1.158,10.0157
1.159,10.0159
1.16,10.016
1.161,10.0161
1.162,10.0163
1.163,10.0164
1.164,10.0166
1.165,10.0167
1.166,10.0168
1.167,10.017
1.168,10.0171
1.169,10.0173
1.17,10.0174
1.171,10.0175
1.172,10.0177
1.173,10.0178
1.174,10.018
1.175,10.0181
1.176,10.0183
1.177,10.0184
1.178,10.0186
1.179,10.0187
1.18,10.0189
1.181,10.019
1.182,10.0192
1.183,10.0193
1.184,10.0195
1.185,10.0196
1.186,10.0198
1.187,10.02
1.188,10.0201
1.189,10.0203
1.19,10.0204
1.191,10.0206
1.192,10.0207
1.193,10.0209
1.194,10.0211
1.195,10.0212
1.196,10.0214
1.197,10.0215
1.198,10.0217
1.199,10.0219
1.2,10.022
1.201,10.0222
1.202,10.0224
1.203,10.0225
1.204,10.0227
1.205,10.0229
1.206,10.023
1.207,10.0232
1.208,10.0234
1.209,10.0235
1.21,10.0237
1.211,10.0239
1.212,10.024
1.213,10.0242
1.214,10.0244
1.215,10.0246
1.216,10.0247
1.217,10.0249
1.218,10.0251
1.219,10.0253
1.22,10.0254
1.221,10.0256
1.222,10.0258
1.223,10.026
1.224,10.0261
1.225,10.0263
1.226,10.0265
1.227,10.0267
1.228,10.0268
1.229,10.027
1.23,10.0272
1.231,10.0274
1.232,10.0276
1.233,10.0278
1.234,10.0279
1.235,10.0281
1.236,10.0283
1.237,10.0285
1.238,10.0287
1.239,10.0289
1.24,10.029
1.241,10.0292
1.242,10.0294
1.243,10.0296
1.244,10.0298
1.245,10.03
1.246,10.0302
1.247,10.0304
1.248,10.0305
1.249,10.0307
1.25,10.0309
1.251,10.0311
1.252,10.0313
1.253,10.0315
1.254,10.0317
1.255,10.0319
1.256,10.0321
1.257,10.0323
1.258,10.0325
1.259,10.0327
1.26,10.0329
1.261,10.0331
1.262,10.0332
1.263,10.0334
1.264,10.0336
1.265,10.0338
1.266,10.034
1.267,10.0342
1.268,10.0344
1.269,10.0346
1.27,10.0348
1.271,10.035
1.272,10.0352
1.273,10.0354
1.274,10.0356
1.275,10.0358
1.276,10.036
1.277,10.0362
1.278,10.0364
1.279,10.0366
1.28,10.0368
1.281,10.037
1.282,10.0372
1.283,10.0374
1.284,10.0376
1.285,10.0378
1.286,10.0381
1.287,10.0383
1.288,10.0385
1.289,10.0387
1.29,10.0389
1.291,10.0391
1.292,10.0393
1.293,10.0395
1.294,10.0397
1.295,10.0399
1.296,10.0401
1.297,10.0403
1.298,10.0405
1.299,10.0407
1.3,10.0409
1.301,10.0411
1.302,10.0413
1.303,10.0416
1.304,10.0418
1.305,10.042
1.306,10.0422
1.307,10.0424
1.308,10.0426
1.309,10.0428
1.31,10.043
1.311,10.0432
1.312,10.0434
1.313,10.0436
1.314,10.0439
1.315,10.0441
1.316,10.0443
1.317,10.0445
1.318,10.0447
1.319,10.0449
1.32,10.0451
1.321,10.0453
1.322,10.0455
1.323,10.0458
1.324,10.046
1.325,10.0462
1.326,10.0464
1.327,10.0466
1.328,10.0468
1.329,10.047
1.33,10.0472
1.331,10.0475
1.332,10.0477
1.333,10.0479
1.334,10.0481
1.335,10.0483
1.336,10.0485
1.337,10.0487
1.338,10.049
1.339,10.0492
1.34,10.0494
1.341,10.0496
1.342,10.0498
1.343,10.05
1.344,10.0502
1.345,10.0505
1.346,10.0507
1.347,10.0509
1.348,10.0511
1.349,10.0513
1.35,10.0515
1.351,10.0517
1.352,10.052
1.353,10.0522
1.354,10.0524
1.355,10.0526
1.356,10.0528
1.357,10.053
1.358,10.0532
1.359,10.0535
1.36,10.0537
1.361,10.0539
1.362,10.0541
1.363,10.0543
1.364,10.0545
1.365,10.0547
1.366,10.055
1.367,10.0552
1.368,10.0554
1.369,10.0556
1.37,10.0558
1.371,10.056
1.372,10.0563
1.373,10.0565
1.374,10.0567
1.375,10.0569
1.376,10.0571
1.377,10.0573
1.378,10.0575
1.379,10.0578
1.38,10.058
1.381,10.0582
1.382,10.0584
1.383,10.0586
1.384,10.0588
1.385,10.0591
1.386,10.0593
1.387,10.0595
1.388,10.0597
1.389,10.0599
1.39,10.0601
1.391,10.0603
1.392,10.0606
1.393,10.0608
1.394,10.061
1.395,10.0612
1.396,10.0614
1.397,10.0616
1.398,10.0618
1.399,10.0621
1.4,10.0623
1.401,10.0625
1.402,10.0627
1.403,10.0629
1.404,10.0631
1.405,10.0633
1.406,10.0636
1.407,10.0638
1.408,10.064
1.409,10.0642
1.41,10.0644
1.411,10.0646
1.412,10.0648
1.413,10.0651
1.414,10.0653
1.415,10.0655
1.416,10.0657
1.417,10.0659
1.418,10.0661
1.419,10.0663
1.42,10.0665
1.421,10.0668
1.422,10.067
1.423,10.0672
1.424,10.0674
1.425,10.0676
1.426,10.0678
1.427,10.068
1.428,10.0682
1.429,10.0685
1.43,10.0687
1.431,10.0689
1.432,10.0691
1.433,10.0693
1.434,10.0695
1.435,10.0697
1.436,10.0699
1.437,10.0702
1.438,10.0704
1.439,10.0706
1.44,10.0708
1.441,10.071
1.442,10.0712
1.443,10.0714
1.444,10.0716
1.445,10.0718
1.446,10.0721
1.447,10.0723
1.448,10.0725
