TIME,FSP_X
0.321,0.071745
0.322,0.0717913
0.323,0.0718442
0.324,0.0718926
0.325,0.0719366
0.326,0.0719562
0.327,0.0719736
0.328,0.0720044
0.329,0.0720386
0.33,0.0720952
0.331,0.0723174
0.332,0.0725229
0.333,0.0725591
0.334,0.0725766
0.335,0.0725954
0.336,0.072651
0.337,0.0726849
0.338,0.0726982
0.339,0.0727208
0.34,0.0727449
0.341,0.0727908
0.342,0.0728181
0.343,0.0728431
0.344,0.0728612
0.345,0.072993
0.346,0.0731443
0.347,0.0731611
0.348,0.0733408
0.349,0.073503
0.35,0.0734872
0.351,0.0734544
0.352,0.0734041
0.353,0.0733122
0.354,0.0733631
0.355,0.0734583
0.356,0.0734114
0.357,0.0733549
0.358,0.0732892
0.359,0.0734392
0.36,0.0739265
0.361,0.0738809
0.362,0.0738746
0.363,0.0739406
0.364,0.0740034
0.365,0.0739877
0.366,0.0738697
0.367,0.0738008
0.368,0.0741033
0.369,0.0743188
0.37,0.0742359
0.371,0.0742612
0.372,0.0742848
0.373,0.0742331
0.374,0.0740517
0.375,0.0739174
0.376,0.0739302
0.377,0.074272
0.378,0.0745998
0.379,0.0745791
0.38,0.074931
0.381,0.0753215
0.382,0.0753611
0.383,0.0753415
0.384,0.0753238
0.385,0.0753273
0.386,0.0756284
0.387,0.0760089
0.388,0.0761105
0.389,0.0762616
0.39,0.0764085
0.391,0.0765546
0.392,0.0767559
0.393,0.0769461
0.394,0.0771361
0.395,0.0773349
0.396,0.0774645
0.397,0.0775127
0.398,0.0776574
0.399,0.0777793
0.4,0.0778544
0.401,0.0779905
0.402,0.078197
0.403,0.0782431
0.404,0.0780933
0.405,0.0780516
0.406,0.0781416
0.407,0.0781937
0.408,0.0782271
0.409,0.078219
0.41,0.0781855
0.411,0.0781564
0.412,0.0778995
0.413,0.077736
0.414,0.0777632
0.415,0.078479
0.416,0.0798468
0.417,0.0804256
0.418,0.0809148
0.419,0.0813888
0.42,0.0811792
0.421,0.0809457
0.422,0.0806605
0.423,0.0802905
0.424,0.0798233
0.425,0.0798564
0.426,0.0800191
0.427,0.0798219
0.428,0.0794193
0.429,0.0789613
0.43,0.0787152
0.431,0.0784048
0.432,0.0781716
0.433,0.0779004
0.434,0.0776104
0.435,0.0774873
0.436,0.0773934
0.437,0.0772889
0.438,0.0771696
0.439,0.0773739
0.44,0.0775497
0.441,0.07767
0.442,0.0777977
0.443,0.0776862
0.444,0.077338
0.445,0.0769694
0.446,0.076879
0.447,0.0768612
0.448,0.0768575
0.449,0.0771036
0.45,0.0772889
0.451,0.0771994
0.452,0.0771472
0.453,0.0771404
0.454,0.0771652
0.455,0.0771875
0.456,0.0771126
0.457,0.0769794
0.458,0.0768497
0.459,0.0766426
0.46,0.0765595
0.461,0.0766303
0.462,0.0766902
0.463,0.0767814
0.464,0.0769052
0.465,0.0770478
0.466,0.0772383
0.467,0.0774275
0.468,0.0775844
0.469,0.0777208
0.47,0.077837
0.471,0.0782147
0.472,0.0785846
0.473,0.0786957
0.474,0.078748
0.475,0.0787717
0.476,0.078872
0.477,0.0789039
0.478,0.078846
0.479,0.0788092
0.48,0.0788329
0.481,0.0788698
0.482,0.0788414
0.483,0.078816
0.484,0.0788266
0.485,0.0790649
0.486,0.0792866
0.487,0.079296
0.488,0.0792818
0.489,0.079118
0.49,0.0789298
0.491,0.0791475
0.492,0.0794297
0.493,0.0794053
0.494,0.0792474
0.495,0.0788678
0.496,0.0785855
0.497,0.0785294
0.498,0.078473
0.499,0.0783027
0.5,0.0781349
0.501,0.0778553
0.502,0.0775742
0.503,0.0778339
0.504,0.0780975
0.505,0.0780697
0.506,0.0780422
0.507,0.0779926
0.508,0.0779444
0.509,0.0778661
0.51,0.0777828
0.511,0.0777427
0.512,0.0777273
0.513,0.0775855
0.514,0.0774395
0.515,0.077253
0.516,0.0770454
0.517,0.0769991
0.518,0.0768294
0.519,0.0766838
0.52,0.0770131
0.521,0.077289
0.522,0.0772281
0.523,0.0770885
0.524,0.0769656
0.525,0.0769461
0.526,0.076923
0.527,0.0769053
0.528,0.0768669
0.529,0.0768319
0.53,0.0768217
0.531,0.076732
0.532,0.0764112
0.533,0.0761688
0.534,0.0761481
0.535,0.0761278
0.536,0.076109
0.537,0.0760173
0.538,0.0758927
0.539,0.0758488
0.54,0.0757348
0.541,0.0756623
0.542,0.0756998
0.543,0.0756459
0.544,0.0754875
0.545,0.0756752
0.546,0.0758751
0.547,0.0760338
0.548,0.0762957
0.549,0.0763105
0.55,0.0763121
0.551,0.0763122
0.552,0.0763176
0.553,0.0762762
0.554,0.076504
0.555,0.0767804
0.556,0.0767481
0.557,0.0767352
0.558,0.0767535
0.559,0.0767095
0.56,0.0765057
0.561,0.0763782
0.562,0.0764677
0.563,0.0765693
0.564,0.0766048
0.565,0.0765684
0.566,0.0763981
0.567,0.0760602
0.568,0.0758592
0.569,0.0757926
0.57,0.0756964
0.571,0.0756162
0.572,0.0754402
0.573,0.0751678
0.574,0.0748861
0.575,0.0745575
0.576,0.0741436
0.577,0.0737983
0.578,0.0735558
0.579,0.0735945
0.58,0.0735521
0.581,0.0733055
0.582,0.0729483
0.583,0.0725393
0.584,0.0722734
0.585,0.0719617
0.586,0.0717515
0.587,0.0715841
0.588,0.0714431
0.589,0.0717308
0.59,0.071939
0.591,0.0717928
0.592,0.0717527
0.593,0.0717537
0.594,0.0717868
0.595,0.0718131
0.596,0.0717497
0.597,0.0717779
0.598,0.0718699
0.599,0.071995
0.6,0.0722594
0.601,0.0730727
0.602,0.0738649
0.603,0.0739258
0.604,0.0742572
0.605,0.0747483
0.606,0.0749385
0.607,0.0749865
0.608,0.075039
0.609,0.0750843
0.61,0.0751216
0.611,0.0752517
0.612,0.0753789
0.613,0.0754998
0.614,0.0755907
0.615,0.0756945
0.616,0.0760657
